#weight  minuslogpost      logA        n_s     omega_b  omega_cdm  theta_s_1e2    tau_reio           A_s       H0  minuslogprior  minuslogprior__0       chi2  chi2__my_cl_like
 9 -19048.555 2.9861665 0.95333102 0.021965527 0.12536853 1.0414114 0.011960575 1.9809598e-09 65.00804 -3.5494364 -3.5494364 -38090.012 -38090.012
 3 -19048.562 2.9918517 0.95061446  0.02193085  0.1263901 1.0410328 0.013977091 1.9922539e-09 64.51266 -3.5494364 -3.5494364 -38090.026 -38090.026
12 -19047.962 3.0524623 0.95735149  0.02215763  0.1250856  1.041561 0.046656053 2.1167401e-09 65.32607 -3.5494364 -3.5494364 -38088.825 -38088.825
 6 -19048.404 3.0186842 0.96765109 0.022315849 0.12124162 1.0413711 0.036748189 2.0464348e-09 66.71977 -3.5494364 -3.5494364 -38089.708 -38089.708
 5 -19048.769 3.0397577 0.97055961 0.022366522 0.11991293 1.0416335 0.048767968 2.0900179e-09 67.31961 -3.5494364 -3.5494364 -38090.439 -38090.439
15 -19048.649 3.0426701 0.97128352 0.022375431 0.11955619 1.0416648 0.050752998 2.0961138e-09 67.46449 -3.5494364 -3.5494364 -38090.199 -38090.199
 3 -19048.683 3.0237431 0.97102725 0.022160343 0.12018186 1.0417794 0.039863835 2.0568136e-09  67.0864 -3.5494364 -3.5494364 -38090.267 -38090.267
10 -19048.612 3.0147049 0.97048533 0.022164311 0.12035271 1.0416604 0.035037606 2.0383076e-09  66.9901 -3.5494364 -3.5494364 -38090.125 -38090.125
 8  -19050.39 3.0213754 0.97030174  0.02220355 0.11973714 1.0416235 0.039211824 2.0519494e-09 67.23071 -3.5494364 -3.5494364  -38093.68  -38093.68
 1 -19049.134 3.0372984 0.96989486 0.022176853 0.11983136 1.0423092 0.046766173 2.0848843e-09 67.40203 -3.5494364 -3.5494364 -38091.168 -38091.168
 3 -19052.026  3.062355 0.96747585 0.022211771 0.11995507 1.0419159 0.058250679 2.1377842e-09  67.2586 -3.5494364 -3.5494364 -38096.953 -38096.953
 9 -19052.235 3.0603434 0.96718048 0.022189251 0.11996727 1.0418767 0.057266292 2.1334882e-09 67.22079 -3.5494364 -3.5494364 -38097.372 -38097.372
 8 -19051.588 3.0576475 0.96354477 0.022180337 0.12062621 1.0417983 0.055495423 2.1277444e-09 66.95445 -3.5494364 -3.5494364 -38096.078 -38096.078
 5 -19051.826  3.054189 0.96369293 0.022144841 0.12003921 1.0413295 0.054547331 2.1203983e-09 66.97275 -3.5494364 -3.5494364 -38096.554 -38096.554
 7 -19051.738 3.0587079 0.96521056 0.022265072 0.11905968 1.0417536  0.05758001 2.1300018e-09 67.57078 -3.5494364 -3.5494364 -38096.378 -38096.378
